"﻿head","tail","relation","weight"
"BaseMeasure:Format Validity","QualityDimension:Timeliness","CALCULATES","0.94"
"Attribute:MergeRequestStatus","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.19"
"Attribute:MergeRequestTitle","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.71"
"Attribute:MergeRequestDescription","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.72"
"QualityDimension:Traceability","DataContext:GitLab","RELATED_TO","0.687778"
"Attribute:IssueTitle","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Traceability","CALCULATES","0.83"
"Attribute:IssueStatus","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.41"
"Attribute:CommitCommitter","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.1"
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.17"
"Attribute:ProjectName","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.99"
"Attribute:ProjectOwner","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Traceability","CALCULATES","0.88"
"Attribute:ProjectCreationDate","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Traceability","CALCULATES","0.25"
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.25"
"Attribute:UserID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Understandability","CALCULATES","0.54"
"QualityDimension:Understandability","DataContext:GitLab","RELATED_TO","0.498"
"Attribute:ProjectURL","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Understandability","CALCULATES","0.43"
"Attribute:CommitMessage","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Understandability","CALCULATES","0.69"
"Attribute:CommitMessage","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.74"
"Attribute:CommitMessage","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.89"
"Attribute:IssueStatus","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.53"
"Attribute:IssueDescription","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Understandability","CALCULATES","0.35"
"Attribute:IssueDescription","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.5"
"BaseMeasure:Null Count","QualityDimension:Understandability","CALCULATES","0.69"
"BaseMeasure:Data Entry Error","QualityDimension:Understandability","CALCULATES","0.7"
"Attribute:IssueTitle","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Usability","CALCULATES","0.87"
"QualityDimension:Usability","DataContext:GitLab","RELATED_TO","0.524545"
"Attribute:IssueReporter","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.4"
"Attribute:IssueID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.57"
"Attribute:IssuePriority","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.1"
"Attribute:CommitID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Usability","CALCULATES","0.3"
"Attribute:CommitCreatedAt","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.47"
"Attribute:ProjectURL","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Usability","CALCULATES","0.84"
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.8"
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.88"
"Attribute:UserEmail","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Usability","CALCULATES","0.2"
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.73"
"Attribute:Risk Description","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accessibility","CALCULATES","0.43"
"QualityDimension:Accessibility","DataContext:GRC","RELATED_TO","0.42"
"Attribute:Risk Description","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accessibility","CALCULATES","0.22"
"Attribute:Control Test Date","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accessibility","CALCULATES","0.79"
"Attribute:Control Test Result","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accessibility","CALCULATES","0.67"
"Attribute:External Source Comments","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accessibility","CALCULATES","0.18"
"BaseMeasure:Outliers Detection","QualityDimension:Accessibility","CALCULATES","0.23"
"Attribute:External Source Date","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.42"
"Attribute:External Source Date","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accuracy","CALCULATES","0.48"
"QualityDimension:Accuracy","DataContext:GRC","RELATED_TO","0.591667"
"Attribute:External Source Comments","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.4"
"Attribute:Entity Type","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accuracy","CALCULATES","0.2"
"Attribute:Issue Resolved Date","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accuracy","CALCULATES","0.76"
"Attribute:Issue Description","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.5"
"Attribute:Issue Reported By","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accuracy","CALCULATES","0.38"
"Attribute:Control Test Plan","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accuracy","CALCULATES","0.96"
"Attribute:Control Test Date","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accuracy","CALCULATES","0.48"
"Attribute:Compliance Test Result","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.9"
"Attribute:Compliance Standard","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.65"
"Attribute:Compliance Test Date","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accuracy","CALCULATES","0.34"
"Attribute:Risk Description","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accuracy","CALCULATES","0.91"
"Attribute:Compliance Requirement","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Availability","CALCULATES","0.9"
"QualityDimension:Availability","DataContext:GRC","RELATED_TO","0.396667"
"Attribute:Control Test Comments","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Availability","CALCULATES","0.79"
"Attribute:Issue Reported By","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Availability","CALCULATES","0.55"
"Attribute:Issue ID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Completeness","CALCULATES","0.43"
"QualityDimension:Completeness","DataContext:GRC","RELATED_TO","0.321667"
"Attribute:Issue Reported Date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Completeness","CALCULATES","0.51"
"Attribute:Issue Reported Date","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.46"
"Attribute:Issue Resolution Comments","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Completeness","CALCULATES","0.38"
"Attribute:Control Owner","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Completeness","CALCULATES","0.5"
"Attribute:Compliance Test Date","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Completeness","CALCULATES","0.94"
"Attribute:Compliance Test Date","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Consistency","CALCULATES","0.55"
"QualityDimension:Consistency","DataContext:GRC","RELATED_TO","0.687143"
"Attribute:Compliance Test Comments","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Consistency","CALCULATES","0.31"
"Attribute:Control Test Comments","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Consistency","CALCULATES","0.1"
"Attribute:Risk Description","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Consistency","CALCULATES","0.57"
"Attribute:Issue ID","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.67"
"Attribute:Issue Status","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Consistency","CALCULATES","0.71"
"Attribute:External Source Date","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Consistency","CALCULATES","0.55"
"Attribute:Issue Status","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.43"
"QualityDimension:Correctness","DataContext:GRC","RELATED_TO","0.62"
"Attribute:Issue Reported By","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.84"
"Attribute:Issue Assigned To","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.59"
"Attribute:Issue Description","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.1"
"Attribute:Risk Category","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.83"
"Attribute:Control ID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Correctness","CALCULATES","0.53"
"Attribute:Compliance Test Comments","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.86"
"Attribute:Compliance Test Result","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.6"
"Attribute:Compliance Test Comments","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Currency","CALCULATES","0.14"
"QualityDimension:Currency","DataContext:GRC","RELATED_TO","0.46125"
"Attribute:Control Test Date","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Currency","CALCULATES","0.1"
"BaseMeasure:Data Entry Error","QualityDimension:Currency","CALCULATES","0.28"
"Attribute:Control Test Date","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Currency","CALCULATES","0.14"
"BaseMeasure:Data Entry Error","QualityDimension:Currency","CALCULATES","0.55"
"Attribute:Control Test Result","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Currency","CALCULATES","0.24"
"Attribute:Issue Priority","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Currency","CALCULATES","0.71"
"Attribute:External Source URL","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Currency","CALCULATES","0.1"
"Attribute:Entity Name","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Interpretability","CALCULATES","0.6"
"QualityDimension:Interpretability","DataContext:GRC","RELATED_TO","0.39875"
"Attribute:External Source Date","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Interpretability","CALCULATES","0.38"
"Attribute:External Source URL","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Interpretability","CALCULATES","0.6"
"Attribute:Issue Assigned To","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Interpretability","CALCULATES","0.46"
"Attribute:Control Test Plan","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Interpretability","CALCULATES","0.9"
"BaseMeasure:Data Entry Error","QualityDimension:Interpretability","CALCULATES","0.5"
"BaseMeasure:Duplication Check","QualityDimension:Interpretability","CALCULATES","0.24"
"Attribute:Control Description","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Interpretability","CALCULATES","0.9"
"Attribute:Control Description","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Relevance","CALCULATES","0.64"
"QualityDimension:Relevance","DataContext:GRC","RELATED_TO","0.46"
"Attribute:Compliance Test Result","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Relevance","CALCULATES","0.45"
"Attribute:Compliance Standard","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Relevance","CALCULATES","0.72"
"Attribute:Control Test Result","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Relevance","CALCULATES","0.35"
"Attribute:Issue Resolved Date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Relevance","CALCULATES","0.9"
"BaseMeasure:Cross-Field Validation","QualityDimension:Relevance","CALCULATES","0.5"
"Attribute:External Source URL","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Relevance","CALCULATES","0.44"
"Attribute:Entity Name","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Relevance","CALCULATES","0.33"
"BaseMeasure:Data Comparison","QualityDimension:Relevance","CALCULATES","0.2"
"Attribute:External Source Name","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Relevance","CALCULATES","0.46"
"Attribute:External Source Name","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Relevance","CALCULATES","0.1"
"Attribute:External Source URL","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Security","CALCULATES","0.18"
"QualityDimension:Security","DataContext:GRC","RELATED_TO","0.5125"
"BaseMeasure:Data Entry Error","QualityDimension:Security","CALCULATES","0.82"
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.52"
"BaseMeasure:Range Check","QualityDimension:Security","CALCULATES","0.78"
"Attribute:Compliance Standard","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Security","CALCULATES","0.4"
"Attribute:Compliance Test Date","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Security","CALCULATES","0.3"
"Attribute:Control ID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.6"
"Attribute:Risk Description","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.91"
"Attribute:Control Frequency","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.72"
"QualityDimension:Timeliness","DataContext:GRC","RELATED_TO","0.572"
"Attribute:Control Test Result","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Timeliness","CALCULATES","0.87"
"BaseMeasure:Duplication Check","QualityDimension:Timeliness","CALCULATES","0.96"
"Attribute:Issue Description","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Timeliness","CALCULATES","0.85"
"Attribute:External Source Name","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.84"
"Attribute:External Source Name","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.48"
"QualityDimension:Traceability","DataContext:GRC","RELATED_TO","0.568"
"Attribute:External Source Comments","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Traceability","CALCULATES","0.72"
"Attribute:External Source Comments","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Traceability","CALCULATES","0.73"
"BaseMeasure:Missing Values","QualityDimension:Traceability","CALCULATES","0.53"
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.79"
"Attribute:Issue Status","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Traceability","CALCULATES","0.76"
"Attribute:Control Test Plan","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Traceability","CALCULATES","0.25"
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.46"
"Attribute:Compliance Test Plan","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.33"
"Attribute:Compliance Standard","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.14"
"Attribute:Control Test Comments","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.23"
"QualityDimension:Understandability","DataContext:GRC","RELATED_TO","0.517143"
"Attribute:Control Test Plan","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Understandability","CALCULATES","0.9"
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.52"
"Attribute:Issue Priority","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.16"
"Attribute:Issue Resolution Comments","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Understandability","CALCULATES","0.88"
"Attribute:Issue Resolution Comments","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.6"
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.58"
"Attribute:Issue Assigned To","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.87"
"QualityDimension:Usability","DataContext:GRC","RELATED_TO","0.52"
"BaseMeasure:Data Comparison","QualityDimension:Usability","CALCULATES","0.27"
"Attribute:Control Description","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Usability","CALCULATES","0.19"
"Attribute:Control Frequency","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Usability","CALCULATES","0.25"
"Attribute:Compliance Test Date","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.57"
"Attribute:Risk Description","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.74"
"Attribute:DoctorID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accessibility","CALCULATES","0.83"
"QualityDimension:Accessibility","DataContext:Healthcare","RELATED_TO","0.755"
"Attribute:PatientName","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accessibility","CALCULATES","0.48"
"Attribute:MedicationID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accuracy","CALCULATES","0.97"
"QualityDimension:Accuracy","DataContext:Healthcare","RELATED_TO","0.22"
"Attribute:DoctorID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Availability","CALCULATES","0.92"
"QualityDimension:Availability","DataContext:Healthcare","RELATED_TO","0.7475"
"Attribute:PatientName","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.7"
"Attribute:VisitDate","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Availability","CALCULATES","0.33"
"Attribute:VisitDate","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Availability","CALCULATES","0.89"
"Attribute:DoctorName","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Completeness","CALCULATES","0.58"
"QualityDimension:Completeness","DataContext:Healthcare","RELATED_TO","0.803333"
"BaseMeasure:Data Comparison","QualityDimension:Completeness","CALCULATES","0.76"
"Attribute:MedicationName","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Completeness","CALCULATES","0.29"
"Attribute:DoctorID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.2"
"QualityDimension:Consistency","DataContext:Healthcare","RELATED_TO","0.49"
"Attribute:PatientID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Consistency","CALCULATES","0.88"
"Attribute:ProcedureID","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Consistency","CALCULATES","0.45"
"Attribute:PatientID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.88"
"QualityDimension:Currency","DataContext:Healthcare","RELATED_TO","0.516667"
"Attribute:DoctorID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.17"
"Attribute:MedicationName","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Currency","CALCULATES","0.6"
"Attribute:DoctorName","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Interpretability","CALCULATES","0.31"
"QualityDimension:Interpretability","DataContext:Healthcare","RELATED_TO","0.39"
"Attribute:DoctorName","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.91"
"QualityDimension:Security","DataContext:Healthcare","RELATED_TO","0.485"
"Attribute:MedicationID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.46"
"BaseMeasure:Duplication Check","QualityDimension:Timeliness","CALCULATES","0.52"
"QualityDimension:Timeliness","DataContext:Healthcare","RELATED_TO","0.86"
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.94"
"QualityDimension:Traceability","DataContext:Healthcare","RELATED_TO","0.2"
"Attribute:PatientName","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.18"
"QualityDimension:Understandability","DataContext:Healthcare","RELATED_TO","0.6"
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.2"
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.21"
"Attribute:DoctorID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Usability","CALCULATES","0.92"
"QualityDimension:Usability","DataContext:Healthcare","RELATED_TO","0.605"
"Attribute:VisitDate","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Usability","CALCULATES","0.53"
"Attribute:location","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accessibility","CALCULATES","0.23"
"QualityDimension:Accessibility","DataContext:Instagram","RELATED_TO","0.76"
"Attribute:name","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accessibility","CALCULATES","0.24"
"Attribute:occupation","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accuracy","CALCULATES","0.44"
"QualityDimension:Accuracy","DataContext:Instagram","RELATED_TO","0.462"
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.3"
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.43"
"Attribute:relationship_status","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accuracy","CALCULATES","0.12"
"Attribute:relationship_status","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
